iter	Passed	Remaining
0	3560	352503
1	6953	340740
2	10398	336207
3	13954	334908
4	17503	332575
5	20950	328228
6	24480	325244
7	28106	323230
8	31596	319475
9	35108	315980
10	38811	314020
11	42453	311323
12	46292	309804
13	49935	306749
14	53514	303250
15	57246	300545
16	61093	298278
17	64859	295472
18	68515	292092
19	72150	288600
20	75922	285612
21	79574	282127
22	83170	278440
23	86811	274903
24	90506	271519
25	94193	268089
26	97949	264826
27	101683	261471
28	105511	258321
29	109268	254958
30	113085	251707
31	116885	248380
32	120763	245187
33	124652	241973
34	128583	238798
35	132439	235448
36	136224	231949
37	140069	228534
38	143950	225152
39	147832	221748
40	151687	218282
41	155669	214972
42	159510	211444
43	163511	208104
44	167456	204669
45	171459	201278
46	175430	197825
47	179397	194347
48	183450	190938
49	187505	187505
50	191465	183956
51	195546	180504
52	199416	176840
53	203296	173178
54	207276	169589
55	211400	166100
56	215496	162567
57	219423	158892
58	223516	155324
59	227609	151739
60	231560	148047
61	235615	144409
62	239672	140759
63	243711	137087
64	247857	133461
65	251821	129726
66	255853	126017
67	259947	122328
68	264014	118615
69	267941	114832
70	271817	111023
71	275749	107236
72	279939	103539
73	283907	99751
74	287970	95990
75	292086	92237
76	296090	88442
77	300128	84651
78	304179	80857
79	308199	77049
80	312235	73240
81	316265	69424
82	320294	65602
83	324349	61780
84	328341	57942
85	332379	54108
86	336605	50297
87	340764	46467
88	344756	42610
89	348805	38756
90	352909	34903
91	357079	31050
92	361427	27204
93	365586	23335
94	369812	19463
95	373955	15581
96	377985	11690
97	382014	7796
98	386093	3899
99	390329	0
